,target,period,prices_old_alt,prices_alt,fprices_alt
234,Netherlands,2001,108.899626812637,100.451807228916,108.899626812637
235,Netherlands,2002,106.92345142845,100.502008032129,106.92345142845
236,Netherlands,2003,105.892097854358,100.552208835341,105.892097854358
237,Netherlands,2004,106.775007309136,100.602409638554,106.775007309136
238,Netherlands,2005,110.038208630838,100.652610441767,110.038208630838
239,Netherlands,2006,113.178992620912,100.70281124498,113.178992620912
240,Netherlands,2007,114.781424503227,100.753012048193,114.781424503227
241,Netherlands,2008,119.816220653691,100.803212851406,119.816220653691
242,Netherlands,2009,112.91035777861,100.853413654619,112.91035777861
243,Netherlands,2010,118.060638611482,100.903614457831,118.060638611482
244,Netherlands,2011,123.557611577925,100.953815261044,123.557611577925
245,Netherlands,2012,126.503005435465,101.004016064257,126.503005435465
246,Netherlands,2013,125.453164233079,101.05421686747,125.453164233079
247,Netherlands,2014,123.079056450641,101.104417670683,123.079056450641
248,Netherlands,2015,120.794696470197,101.154618473896,120.794696470197
249,Netherlands,2016,117.359388193706,101.204819277109,117.359388193706
250,Netherlands,2017,120.402542648636,101.255020080321,120.402542648636
251,Netherlands,2018,122.882927658539,101.305220883534,122.882927658539
252,Netherlands,2019,123.372131804674,101.355421686747,123.372131804674
253,Portugal,1992,100,100,100
254,Portugal,1993,94.3256682732652,100.050200803213,94.3256682732652
255,Portugal,1994,94.4586686393667,100.100401606426,94.4586686393667
256,Portugal,1995,98.3469440141473,100.150602409639,98.3469440141473
257,Portugal,1996,97.9630575106748,100.200803212851,97.9630575106748
258,Portugal,1997,99.8308645073467,100.251004016064,99.8308645073467
259,Portugal,1998,99.5754162003072,100.301204819277,99.5754162003072
260,Portugal,1999,100.70358982894,100.35140562249,100.70358982894
261,Portugal,2000,106.1090349707,100.401606425703,106.1090349707
262,Portugal,2001,106.686518812253,100.451807228916,106.686518812253
263,Portugal,2002,106.985865736175,100.502008032129,106.985865736175
264,Portugal,2003,105.58541739258,100.552208835341,105.58541739258
265,Portugal,2004,107.442207484867,100.602409638554,107.442207484867
266,Portugal,2005,109.252286280544,100.652610441767,109.252286280544
267,Portugal,2006,114.195724456655,100.70281124498,114.195724456655
268,Portugal,2007,116.355293215925,100.753012048193,116.355293215925
269,Portugal,2008,119.508167023312,100.803212851406,119.508167023312
270,Portugal,2009,113.606379918913,100.853413654619,113.606379918913
271,Portugal,2010,117.345578906809,100.903614457831,117.345578906809
272,Portugal,2011,123.339736681351,100.953815261044,123.339736681351
273,Portugal,2012,125.382714371865,101.004016064257,125.382714371865
274,Portugal,2013,124.22038928459,101.05421686747,124.22038928459
275,Portugal,2014,122.744516735871,101.104417670683,122.744516735871
276,Portugal,2015,121.147423348465,101.154618473896,121.147423348465
277,Portugal,2016,119.183658385297,101.204819277109,119.183658385297
278,Portugal,2017,122.738417568843,101.255020080321,122.738417568843
279,Portugal,2018,125.506851592474,101.305220883534,125.506851592474
280,Portugal,2019,126.175701186294,101.355421686747,126.175701186294
281,Spain,1992,100,100,100
282,Spain,1993,93.2748977026358,100.050200803213,93.2748977026358
283,Spain,1994,98.1080426396232,100.050175614651,105.181613763218
284,Spain,1995,103.265056228658,100.050150451354,105.256463639763
285,Spain,1996,103.342593636417,100.050125313283,100.075085813721
286,Spain,1997,100.214405211689,100.050100200401,96.9729921471357
287,Spain,1998,99.8924851460952,100.050075112669,99.6787686711173
288,Spain,1999,100.571949849064,100.05005005005,100.68019601472
289,Spain,2000,106.737045836009,100.050025012506,106.13003525953
290,Spain,2001,101.541736446848,100.05,95.1326089751977
