ect_x,tech,reporter,year,ect_m
-12.3217924555845,PRIM,France,1998,-8.72247968814806
-12.3082035598774,PRIM,France,2011,-8.56860613200065
-12.3051354888743,PRIM,Italy,2019,-28.0515959680653
-12.303848606867,PRIM,France,2004,-8.63409099976344
-12.3026352699324,PRIM,France,2000,-8.67723121551543
-12.2976628101125,PRIM,France,2007,-8.59192191941858
-12.2958269705193,PRIM,France,2005,-8.62832909081631
-12.2950265482764,PRIM,France,1999,-8.67881014961237
-12.2940950491195,PRIM,France,2006,-8.59921716882416
-12.291341678902,PRIM,Italy,2017,-28.0260401464111
-12.2908250041088,PRIM,Italy,2011,-28.1523751833211
-12.2904185273852,PRIM,Italy,2018,-28.0430066917505
-12.2757709960771,PRIM,France,2012,-8.5541795109673
-12.271583562047,PRIM,Italy,2012,-28.1791842488034
-12.2709038567855,PRIM,France,2003,-8.62699783542818
-12.2703174239603,PRIM,Italy,2016,-28.00543815372
-12.2697426119363,PRIM,France,2002,-8.62424351904513
-12.2666973325799,PRIM,Italy,2015,-28.0324062227757
-12.2578724046201,PRIM,France,2001,-8.60946813797686
-12.2562931538235,RES,Finland,1993,-6.26838675896085
-12.2541896424126,PRIM,Italy,2014,-28.0665565932846
-12.2539190211453,PRIM,France,2018,-8.47328926252571
-12.2486757009141,PRIM,Italy,2013,-28.1246472924452
-12.2465053020432,PRIM,Italy,2009,-28.298013886052
-12.2452132814501,PRIM,France,2017,-8.4729906346943
-12.2436034883201,PRIM,France,2019,-8.47900507036412
-12.23423203741,PRIM,France,2013,-8.55827723556588
-12.2293947294297,PRIM,Italy,2004,-28.2575790566746
-12.2253850361146,PRIM,Italy,2006,-28.2815383331563
-12.221116909545,PRIM,France,2016,-8.48060688022242
-12.2200003181569,PRIM,France,2015,-8.51632647345761
-12.2179341434117,PRIM,Italy,2005,-28.2778919225021
-12.2150334604404,PRIM,France,2014,-8.5455893478385
-12.2078990943949,PRIM,Italy,2007,-28.2866084272637
-12.206065595163,PRIM,Italy,2008,-28.3014069658345
-12.1969211018574,PRIM,Italy,1993,-27.8885046069587
-12.1913788824776,PRIM,Italy,2003,-28.2585756754737
-12.1621173737229,PRIM,Italy,2000,-28.1209151250303
-12.1394762023423,PRIM,Italy,2002,-28.2525213020005
-12.1234764044839,PRIM,Italy,2001,-28.1876341191853
-12.1169744446019,PRIM,Italy,1994,-27.9775801339908
-12.0984529044415,RES,Finland,1994,-6.24188345648712
-12.0898916550234,PRIM,Italy,1999,-28.0906949392208
-12.0863402589749,PRIM,Italy,1995,-28.0022577564382
-12.0538290444572,PRIM,Italy,1998,-28.0946528860141
-12.0489258038999,LOW,Finland,1993,-4.14977268207381
-12.0413944874347,PRIM,Italy,1997,-28.1100600700218
-12.0199480049311,PRIM,Italy,1996,-28.040062939258
-12.0188946453624,RES,Finland,1995,-6.19738086579076
-11.9738579830327,RES,Finland,1996,-6.19949114868408
-11.9465513602949,RES,Finland,1997,-6.20011148391618
-11.8911350989585,LOW,Finland,1994,-4.12616982244576
-11.8638820837812,RES,Finland,1998,-6.20801331302784
-11.8284677759195,RES,Finland,1999,-6.23064731346259
-11.8109679061871,LOW,Finland,1995,-4.06469538521733
-11.770324393587,RES,Finland,2000,-6.27253978797654
-11.7654077291849,LOW,Finland,1996,-4.04876900486198
-11.7377140454592,LOW,Finland,1997,-4.03366203844146
-11.7087609167385,RES,Finland,2004,-6.27012529917689
-11.7016322727194,RES,Finland,2002,-6.28047815969127
