ect_x,tech,reporter,year,ect_m
-20.0570937831182,HIGH,Spain,1999,-7.78350968913017
-20.0503677464378,HIGH,Spain,2000,-7.77138314304602
-20.0435266740607,HIGH,Spain,2018,-7.79069828281209
-20.0284038025347,HIGH,Spain,2013,-7.8488606052577
-20.0206775228491,HIGH,Spain,2014,-7.79726896097995
-20.020069843832,HIGH,Spain,2017,-7.7953340199732
-20.0175634997518,HIGH,Spain,2015,-7.79440667072408
-20.0086550706648,HIGH,Spain,2016,-7.81213270859488
-17.1620315215221,LOW,Germany,2009,-10.3990875594014
-17.1434311753561,LOW,Germany,2003,-10.4894602674594
-17.1189102011622,LOW,Germany,2002,-10.5621729127765
-17.1167786997691,LOW,Germany,2005,-10.4159571545925
-17.1158657740914,LOW,Germany,2001,-10.5356240227857
-17.114760356354,LOW,Germany,2004,-10.4492679847804
-17.1103687157996,LOW,Germany,1999,-10.5248982697624
-17.10257730348,LOW,Germany,2000,-10.4978033689
-17.0922534635039,LOW,Germany,2006,-10.4121249119263
-17.0918440479059,LOW,Germany,2007,-10.4298822025386
-17.0694620156239,LOW,Germany,2008,-10.4257513953336
-17.0668697223061,LOW,Germany,1998,-10.5616957491864
-17.0489023829407,LOW,Germany,1997,-10.6035924573423
-17.0488674625703,LOW,Germany,1996,-10.6269504158099
-17.047283635277,LOW,Germany,1993,-10.708681636788
-17.0427801936729,LOW,Germany,1994,-10.6794972258073
-17.0307800370116,LOW,Germany,1995,-10.6299964080726
-17.0307791382235,LOW,Germany,2011,-10.4033658840676
-17.0118278189723,LOW,Germany,2010,-10.35595456755
-16.9859242360939,LOW,Germany,2019,-10.3266278955969
-16.9565188716963,LOW,Germany,2018,-10.3345885391497
-16.9318429589063,LOW,Germany,2017,-10.3571861856713
-16.916760871371,LOW,Germany,2016,-10.3515872137512
-16.9090176231809,LOW,Germany,2012,-10.3863282111707
-16.8988337594657,LOW,Germany,2015,-10.3516737699118
-16.8956074100842,LOW,Germany,2013,-10.3643656726877
-16.8902915634717,LOW,Germany,2014,-10.3755153829087
-16.8158006411039,PRIM,Spain,1993,-3.22619066547784
-16.7866634786302,LOW,Spain,1993,-11.1846898983185
-16.7129858555778,LOW,Spain,1994,-11.1336847121522
-16.6817489719357,LOW,Spain,1995,-11.0950785910095
-16.6269583387817,LOW,Spain,1996,-11.0886543668524
-16.5943563828439,LOW,Spain,2006,-11.1653926459906
-16.5855670945925,LOW,Spain,2008,-11.2509778156084
-16.5833717064654,LOW,Spain,2007,-11.1726811367183
-16.5744963495749,LOW,Spain,2005,-11.1461456790327
-16.5694182727706,LOW,Spain,1997,-11.0561176013284
-16.5663024276725,LOW,Spain,2010,-11.3032870515935
-16.5610509187662,LOW,Spain,2002,-11.129891289993
