reporter,year,tech,tech_exports,xsum,xqt,xprices,tech_imports,msum,mqt,mprices,income,consump,imports,fprices,xrate,prices,rprices,old_rprices,exports,inst_income,fincome_alt,fincome,fincome_alt3,fincome_alt2,investment,sum_tech_exports,sum_tech_imports,share_tech_exports,share_tech_imports
Portugal,2019,HIGH,19.3946591848984,5563649307,264846027,7.65003108117491,19.7002650056803,14099549715.333,359514477.556,8.27431387904563,5.3003872229166,5.09993776674293,4.49551155777513,102.9992517,1.11947451,104.1505446,4.66001582442363,4.59902355409125,4.49484179529251,5.28019105578372,12.1783041372024,9.58635370998133,12.1845535033849,9.29709731326646,3.5947874320541,78011661998.73,102952773231.706,0.0713181742890002,0.136951626194668
Portugal,2019,LOW,22.0219810458319,16671003744.501,3664585415,6.12012588468013,21.779636257855,15240350193.573,2875913666.795,6.27274629365491,5.3003872229166,5.09993776674293,4.49551155777513,102.9992517,1.11947451,104.1505446,4.66001582442363,4.59902355409125,4.49484179529251,5.28019105578372,12.1783041372024,9.58635370998133,12.1845535033849,9.29709731326646,3.5947874320541,78011661998.73,102952773231.706,0.213698866520398,0.148032439682543
Portugal,2019,MED,21.6723562860462,22979805633.975,2583358894,6.79069555122156,22.1224866126173,28907292922.576,4052041287.191,6.57004332386275,5.3003872229166,5.09993776674293,4.49551155777513,102.9992517,1.11947451,104.1505446,4.66001582442363,4.59902355409125,4.49484179529251,5.28019105578372,12.1783041372024,9.58635370998133,12.1845535033849,9.29709731326646,3.5947874320541,78011661998.73,102952773231.706,0.294568850928328,0.280782071382547
Portugal,2019,PRIM,22.2486781811877,13831717853,4597038741,5.70672219178501,23.8643229691936,29050740096.657,23128303615.579,4.83315701336344,5.3003872229166,5.09993776674293,4.49551155777513,102.9992517,1.11947451,104.1505446,4.66001582442363,4.59902355409125,4.49484179529251,5.28019105578372,12.1783041372024,9.58635370998133,12.1845535033849,9.29709731326646,3.5947874320541,78011661998.73,102952773231.706,0.17730320696443,0.282175401251944
Portugal,2019,RES,23.4905518366965,18965485460.254,15915380994,4.78050495874461,22.5044870724887,15654840303.567,5937102593.753,5.57472910418631,5.3003872229166,5.09993776674293,4.49551155777513,102.9992517,1.11947451,104.1505446,4.66001582442363,4.59902355409125,4.49484179529251,5.28019105578372,12.1783041372024,9.58635370998133,12.1845535033849,9.29709731326646,3.5947874320541,78011661998.73,102952773231.706,0.243110901297844,0.1520584614883
Spain,1992,HIGH,19.3535928679635,5863498221,254190074,7.7435895464875,19.8629015051559,13611711150,423007939,8.07646505394523,6.53347338120536,6.3144445645743,4.79860806027518,79.4908147,1.2981,76.191357,4.74042212487365,4.59365731650702,4.64006907349235,6.55840821686465,11.9377040764157,9.08421996432382,11.9422238832408,8.81534283716587,4.99909023901274,69127755804,117254857654,0.0848211858291039,0.116086543639548
Spain,1992,LOW,22.4106285091388,10155640838,5405206589,5.23583681249922,22.3542275234769,14951608009,5108785407,5.67902735264064,6.53347338120536,6.3144445645743,4.79860806027518,79.4908147,1.2981,76.191357,4.74042212487365,4.59365731650702,4.64006907349235,6.55840821686465,11.9377040764157,9.08421996432382,11.9422238832408,8.81534283716587,4.99909023901274,69127755804,117254857654,0.146911189577665,0.127513761972402
Spain,1992,MED,22.7581028809886,27247300503,7651005247,5.87528759403789,22.9979558369419,35738063092,9724903825,5.90669649985132,6.53347338120536,6.3144445645743,4.79860806027518,79.4908147,1.2981,76.191357,4.74042212487365,4.59365731650702,4.64006907349235,6.55840821686465,11.9377040764157,9.08421996432382,11.9422238832408,8.81534283716587,4.99909023901274,69127755804,117254857654,0.394158615249352,0.304789616456294
Spain,1992,PRIM,22.6689993075379,13099100095,6998763360,5.23198024820597,25.1781547069061,34359799213,86046587953,3.68716856950105,6.53347338120536,6.3144445645743,4.79860806027518,79.4908147,1.2981,76.191357,4.74042212487365,4.59365731650702,4.64006907349235,6.55840821686465,11.9377040764157,9.08421996432382,11.9422238832408,8.81534283716587,4.99909023901274,69127755804,117254857654,0.18949118111313,0.29303518762856
Spain,1992,RES,23.9971703820061,12762216147,26414273979,3.87775458299654,24.3705942373254,18593676190,38372014329,3.88066331873371,6.53347338120536,6.3144445645743,4.79860806027518,79.4908147,1.2981,76.191357,4.74042212487365,4.59365731650702,4.64006907349235,6.55840821686465,11.9377040764157,9.08421996432382,11.9422238832408,8.81534283716587,4.99909023901274,69127755804,117254857654,0.184617828230749,0.158574890303197
